ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZoneLighting;SportZoneSurfaceType;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;Scheme;GLOBALID;
38;"ГБОУ ДОДСН «СДЮСШОР «Москвич» Москомспорта";"Ледовый дворец";"Юго-Восточный административный округ";"район Текстильщики";"Волгоградский проспект, дом 46/15";"obozny_es@sport-moskvich.ru";"sport-moskvich.ru";"(499) 178-34-74";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.73833904837018";"55.70815840661814";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"4 раза в месяц - 1100 руб, 8 раз в месяц - 1650 руб, 12 раз в месяц - 2500 руб, 16 раз в месяц - 3300 руб.";"нет";"частично приспособлен";"кёрлинг";"facilities.ias.mossport.ru/Application/GetPhotoFile/134432?sportZonePhotoId=2521";"90562900";
39;"ДЮСШ «Пингвины», ГБОУ ДОДСН «ДЮСШ «Хоккей Москвы» Москомспорта";"Ледовое поле";"Южный административный округ";"район Бирюлёво Западное";"Булатниковская улица, дом 2Б";"pingvini@fsohm.ru";"fso-hockeymoscow.ru/component/joomleague/clubinfo/29/17--";"(495) 383-90-01";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.65320991207709";"55.58057546527716";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"платно, по прейскуранту";"да";"частично приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/132339?sportZonePhotoId=1228";"90562436";
40;"ГБОУ ДОДСН ДЮСШ Хоккей Москвы Москомспорта ДЮСШ Русь";"Ледовое поле";"Южный административный округ";"район Зябликово";"Воронежская улица, дом 13/3";"kulikov.ni@mail.ru";"fso-hockeymoscow.ru";"(495) 399-13-27";"нет";"нет";"да";"да";"да";"нет";"нет";"да";"37.73239967789725";"55.61101253210706";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"бесплатно";"платно, по прейскуранту";"да";"не приспособлен";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/132994?sportZonePhotoId=1547";"90563591";
41;"Парк «Фили»";"Ледовое поле (крытое)";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 22, строение 2";"info@parkfili.com";"parkfili.com";"(499) 145-45-05";"да";"да";"нет";"да";"да";"да";"нет";"нет";"37.49131882152369";"55.746578917260436";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"да";"";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/130789?sportZonePhotoId=493";"90563209";
42;"Ледовый дворец Локомотив";"Ледовое поле (крытое)";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 125, строение 4";"loko@fclm.ru";"";"(499) 161-93-85";"нет";"нет";"да";"нет";"да";"нет";"нет";"да";"37.73980076012187";"55.80681855907959";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"освещение светодиодными лампами";"искусственный лед";"платно";"300 руб.";"да";"";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/132517?sportZonePhotoId=1328";"90562448";
43;"ООО «Академия Хоккея»";"Ледовое поле (крытое)";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 5, строение 2";"ice@arenamorozovo.ru";"arenamorozovo.ru";"(495) 287-31-75";"да";"да";"да";"да";"да";"да";"нет";"да";"37.67708377175053";"55.723458397134145";"понедельник 06:00-02:00; вторник 06:00-02:00; среда 06:00-02:00; четверг 06:00-02:00; пятница 06:00-02:00; суббота 06:00-02:00; воскресенье 06:00-02:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"да";"приспособлен для всех групп инвалидов";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133794?sportZonePhotoId=1902";"90562288";
44;"ООО «Академия Хоккея»";"Ледовое поле (крытое)";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 5, строение 2";"ice@arenamorozovo.ru";"arenamorozovo.ru";"(495) 287-31-75";"да";"да";"да";"да";"да";"да";"нет";"да";"37.67708377175053";"55.723458397134145";"понедельник 06:00-02:00; вторник 06:00-02:00; среда 06:00-02:00; четверг 06:00-02:00; пятница 06:00-02:00; суббота 06:00-02:00; воскресенье 06:00-02:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"да";"приспособлен для всех групп инвалидов";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133795?sportZonePhotoId=1903";"90562289";
45;"ООО «Академия Хоккея»";"Ледовое поле (крытое)";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 5, строение 2";"ice@arenamorozovo.ru";"arenamorozovo.ru";"(495) 287-31-75";"да";"да";"да";"да";"да";"да";"нет";"да";"37.67708377175053";"55.723458397134145";"понедельник 06:00-02:00; вторник 06:00-02:00; среда 06:00-02:00; четверг 06:00-02:00; пятница 06:00-02:00; суббота 06:00-02:00; воскресенье 06:00-02:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"да";"приспособлен для всех групп инвалидов";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133796?sportZonePhotoId=1904";"90562290";
46;"ООО «Академия Хоккея»";"Ледовое поле (крытое)";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 5, строение 2";"ice@arenamorozovo.ru";"arenamorozovo.ru";"(495) 287-31-75";"да";"да";"да";"да";"да";"да";"нет";"да";"37.67708377175053";"55.723458397134145";"понедельник 06:00-02:00; вторник 06:00-02:00; среда 06:00-02:00; четверг 06:00-02:00; пятница 06:00-02:00; суббота 06:00-02:00; воскресенье 06:00-02:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"да";"приспособлен для всех групп инвалидов";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133797?sportZonePhotoId=1906";"90562287";
47;"Ледовый каток ТК «Город»";"Ледовое поле (крытое)";"Юго-Восточный административный округ";"район Лефортово";"шоссе Энтузиастов, дом 12";"";"gorod.tc";"(495) 663-83-09";"да";"нет";"да";"да";"да";"нет";"нет";"да";"37.705464028236925";"55.74873373363143";"понедельник 10:00-21:00; вторник 10:00-21:00; среда 10:00-21:00; четверг 10:00-21:00; пятница 10:00-21:00; суббота 10:00-21:00; воскресенье 10:00-21:00";"";"освещение газоразрядными лампами";"искусственный лед";"платно";"";"да";"приспособлен для всех групп инвалидов";"катание на коньках; хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/134115?sportZonePhotoId=2263";"90563739";
48;"Спортивный комплекс ЦСКА";"Ледовый дворец";"Северный административный округ";"Хорошёвский район";"Ленинградский проспект, дом 39, строение 41";"brd@cska.ru";"uslugi.cska.ru";"(495) 613-18-77";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.53712772546383";"55.796358470013104";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-20:00; воскресенье 08:00-20:00";"";"смешанное освещение";"искусственный лед";"платно";"";"да";"частично приспособлен";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/131907?sportZonePhotoId=2171";"90562156";
49;"Спортивный комплекс ЦСКА";"Ледовый дворец";"Северный административный округ";"Хорошёвский район";"Ленинградский проспект, дом 39, строение 41";"brd@cska.ru";"uslugi.cska.ru";"(495) 613-18-77";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.53712772546383";"55.796358470013104";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-20:00; воскресенье 08:00-20:00";"";"смешанное освещение";"искусственный лед";"платно";"";"да";"частично приспособлен";"катание на коньках";"facilities.ias.mossport.ru/Application/GetPhotoFile/131908?sportZonePhotoId=2173";"90562155";
50;"Дворец спорта «Сокольники»";"Каток тренировочный";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1Б";"info@sokolniki.info";"ld-sokolniki.ru";"(495) 645-20-65";"да";"да";"да";"нет";"нет";"нет";"да";"да";"37.6715640924293";"55.792926338453164";"понедельник 08:00-23:00; вторник 08:00-23:00; среда 08:00-23:00; четверг 08:00-23:00; пятница 08:00-23:00; суббота 08:00-23:00; воскресенье 08:00-23:00";"";"освещение лампами накаливания";"искусственный лед";"платно";"";"да";"";"катание на коньках; хоккей";"";"90562262";
51;"Ледовый каток ФГБУ ЦМРТ МЧС России";"Ледовое поле (крытое)";"Западный административный округ";"район Фили-Давыдково";"Давыдковская улица, дом 7";"cmrt@yandex.ru";"mchs.gov.ru";"(499) 216-90-94";"нет";"нет";"да";"нет";"нет";"нет";"нет";"нет";"37.479707885557765";"55.724997273177095";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"освещение газоразрядными лампами";"искусственный лед";"бесплатно";"";"нет";"";"хоккей";"facilities.ias.mossport.ru/Application/GetPhotoFile/133635?sportZonePhotoId=1812";"90563857";
52;"ГБУ «Дворец спорта «Мегаспорт»";"Ледовый дворец";"Северный административный округ";"Хорошёвский район";"Ходынский бульвар, дом 3";"info@hockey-palace.ru";"hockey-palace.ru";"(495) 643-18-17";"да";"да";"да";"да";"да";"нет";"да";"да";"37.53985828997135";"55.786588047982136";"понедельник 09:00-22:00; вторник 09:00-22:00; среда 09:00-22:00; четверг 09:00-22:00; пятница 09:00-22:00; суббота 09:00-22:00; воскресенье 09:00-22:00";"";"смешанное освещение";"искусственный лед";"платно";"";"да";"частично приспособлен";"катание на коньках";"";"90561722";
