OID;UIDNFTN;CODE;AS_UR_OLD;OBJ_NAME;ADDRESS;PRICE_ENTR;X;Y;UNOM_BTI;ID_SPORTZ;TYPE_SPORTZ;NAME_SPORTZ;INV_LEASE;HOURS;COV_TYPE;LENGTH;WIDTH;ILLUM;FREE_CLASSES;PRICE_EQIP;Y_ACC;X_ACC;OBJ_ID;OBJ_TYPE;VED_SUBJ;OKRUG;RAYON;INV_SERV;DRESS;SOUND;FOOD;WC;WIFI;ATM;MEDIC;EXPL_OGRN;EXPL_NAME;EXPL_PHONE;EXPL_WEB;EXPL_EMAIL;STATUS;COMMENT;LAT;LON
56;523;523;DK____207;ПКиО «Северное Тушино»;ул. Свободы, д.56;сведения отсутствуют;-3020,361;21597,3482;3303336;0;городок тренажерный (воркаут);;нет;Круглосуточно;специальное;2000;2250;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;да;нет;нет;нет;нет;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;;55.86092715977128;37.450013873573184
30;4800;4800;MSPORT180;Стадион ГБОУ ДОДСН «ДЮСШ № 70 «Молния» Москомспорта;Лобненская ул. 13;сведения отсутствуют;2368,221;24666,5649;;107060;городок тренажерный (воркаут);;нет;Понедельник с 7:00 до 22:00 Вторник с 7:00 до 22:00 Среда с 7:00 до 22:00 Четверг с 7:00 до 22:00 Пятница с 7:00 до 22:00 Суббота с 7:00 до 22:00 Воскресенье с 7:00 до 22:00;искусственное;200;200;уличные столбы освещения;да;нет;55.88809911430989;37.534474838089146;39858;междворовые спортивные площадки;Департамент физической культуры и спорта города Москвы;САО;Дмитровский;нет;нет;нет;нет;да;нет;нет;да;1037713000929;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Детско-юношеская спортивная школа № 70 ""Молния"" Департамента физической культуры и спорта города Москвы";(495) 483-35-04;dussh70.ucoz.ru;s70@mossport.ru;внесены изменения;;55.88849829453422;37.53609615577273
31;6570;6570;UZAO__99;сведения отсутствуют;ул. Айвазовского д. 6, корп. 1;бесплатно;2445,6118;-5850,9345;225;0;городок тренажерный (воркаут);;нет;Будни с 09.00-23.00 Выходные с 10.00-22.00;искусственное;400;200;без освещения;да;нет;;;0;плоскостные спортивные сооружения;муниципалитет;ЮЗАО;Ясенево;нет;нет;нет;нет;нет;нет;нет;нет;1117746812600;"ООО ""Орбита""";(963) 718-98-19;нет;irina-802006@mail.ru;Внесены изменения;(495) 422 0222;55.61439847320177;37.53707212909567
32;6726;6726;UZAO__255;сведения отсутствуют;ул. Голубинская д. 24, корп. 1;бесплатно;2380,6564;-7893,3896;5669;0;городок тренажерный (воркаут);;нет;Будни с 09.00-23.00 Выходные с 10.00-22.00;искусственное;400;200;без освещения;да;нет;;;0;плоскостные спортивные сооружения;муниципалитет;ЮЗАО;Ясенево;нет;нет;нет;нет;нет;нет;нет;нет;1087746782771;"ООО ""СтройАрсенал""";(963) 718-98-19;нет;vitalik532@mail.ru;Внесены изменения;(495) 422 2200;55.59605359256253;37.53602447999676
33;2854;2854;DOGM__2262;"Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы ""Московский городской педагогический университет""";Зеленоградский / Матушкино / Зеленоград / Корп- 425А;бесплатно;-18224,9333;36649,1867;2117074;12283;городок тренажерный (воркаут);;нет;с 10:00 до 20:00;искусственное;300;227;уличные столбы освещения;да;нет;;;12283;ВУЗы;Департамент образования города Москвы;ЗелАО;Матушкино;нет;нет;нет;нет;нет;нет;нет;нет;1027700141996;"ГБОУ ВПО города Москвы ""Московский городской педагогический университет""";(499) 181-65-52;mgpu.ru;rectorat@mgpu.ru;;;55.995774700936984;37.206174852500396
34;6976;6976;VAO___152;сведения отсутствуют;Щелковское ш., д. 44 к. 4;бесплатно;18379,3811;15833,8296;29919;101347;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;грунтовое;100;50;уличные столбы освещения;да;нет;;;17805;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;5107746022654;"ООО "" АКСИОМА""";(916) 285-57-79;нет;aksioma-tender@mail.ru;добавлено;-0;55.80882659351349;37.79138259600722
35;6964;6964;VAO___140;сведения отсутствуют;13-я Парковая, д. 28, корп.3;бесплатно;19862,3736;15385,3599;64140;98407;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;отсыпное;200;100;уличные столбы освещения;да;нет;;;17798;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.804740358944656;37.81500175954774
36;6907;6907;VAO___83;сведения отсутствуют;3-я Парковая д. 63;бесплатно;17670,5609;15686,721;240094;96558;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17496;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.807531595178844;37.780068372979514
37;6909;6909;VAO___85;сведения отсутствуют;15-я Парковая ул., д. 47 к. 1;бесплатно;19990,6968;15665,8188;240007;98389;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17793;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.80725404189834;37.81706859449498
38;6912;6912;VAO___88;сведения отсутствуют;Щелковское ш., д. 82 к. 1;бесплатно;19925,8737;15987,2882;240038;98397;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17795;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.81014397832491;37.81605819039374
39;6960;6960;VAO___136;сведения отсутствуют;11-я Парковая, д. 44, к. 2-4;бесплатно;19353,0497;15405,2037;18811;98414;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17800;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.80493912018787;37.8068809946515
40;6962;6962;VAO___138;сведения отсутствуют;13-я Парковая ул., д. 31 к. 3;бесплатно;19589,8522;15599,6729;18866;98393;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17794;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.80667626572221;37.81067120152587
41;6963;6963;VAO___139;сведения отсутствуют;13-я Парковая д. 27 к. 1, 2;бесплатно;19596,4668;15481,933;18854;98403;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17797;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.80561851794271;37.81076826546238
42;6965;6965;VAO___141;сведения отсутствуют;15-я Парковая ул., д. 45;бесплатно;20018,4781;15541,4644;240001;98392;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17794;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.806136010342;37.817502559606034
43;6971;6971;VAO___147;сведения отсутствуют;ул. Никитинская, д. 35, к. 1,2;бесплатно;17192,7225;15544,1102;16201;98408;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17798;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0;55.80626784801972;37.77243879026692
18;2703;2703;DOGM__2111;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 494 имени Героя Российской Федерации А.Н. Рожкова;Южный / Даниловский / ул. Симоновский Вал / Дом- 18А;бесплатно;10296,2479;6088,3623;2124468;0;городок тренажерный (воркаут);;нет;будни с 15:20 до 21:00, выходные с 10:00 до 21:00;грунтовое;210;110;без освещения;да;нет;;;0;общеобразовательные учреждения;сведения отсутствуют;ЮАО;Даниловский;нет;нет;нет;нет;нет;нет;нет;нет;1127747129950;ГБОУ СОШ №494 имени Героя Российской Федерации А.Н. Рожкова;(495) 675-05-58;schu494.mskobr.ru;sch494@sinergi.ru;;;55.721533965549504;37.66210289610188
19;7231;7231;VAO___407;Спортивная площадка;Уральская ул. 23к2;бесплатно;19226,1817;17563,6789;26832;92168;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14097;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Внесены изменения;-0;55.82433048711231;37.80500940581099
20;7237;7237;VAO___413;сведения отсутствуют;Щелковское ш. 69;бесплатно;18611,6857;16032,3998;29946;94567;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14062;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.810601221175894;37.79510103270711
21;7243;7243;VAO___419;сведения отсутствуют;Амурская ул. 19;бесплатно;18174,4609;16396,2026;31382;91440;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14037;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.81388525341717;37.78815170671319
22;6918;6918;VAO___94;сведения отсутствуют;Байкальская ул. 27;бесплатно;19288,8219;16825,3576;1229;91441;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14037;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.81769678331202;37.805956788504034
23;7138;7138;VAO___314;спортивная площадка;Алтайская ул. 25;бесплатно;20689,2509;17249,0051;0;91438;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14036;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0;55.82144416794991;37.828328792774734
1;4611;4611;DPIOOS115;"Лесопарк ""Кусково""";3 - я Музейная, д. 40;нет;19369,5862;7371,7762;;;городок тренажерный (воркаут);"Лесопарк ""Кусково""";нет;Круглосуточно;грунтовое;250;100;без освещения;да;нет;;;;парки (озелененные городские территории;Департамент природопользования и охраны окружающей среды города Москвы;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"Санитарное состояние ГБУ ""Автодороги ВАО"" Текущий ремонт - ""ООО СтройПаркХоз""";(985) 911-34-61;нет;9651249999@mail.ru;Добавлено;;55.73278574012893;37.806577955689434
2;7002;7002;VAO___178;сведения отсутствуют;ул. Красный Казанец 3-4;бесплатно;19492,75;6316,2189;0;92541;городок тренажерный (воркаут);;нет;07.00-22.00;специальное;61;61;без освещения;да;нет;;;12994;междворовые спортивные площадки;префектура;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1077758648483;"ГКУ ""ИС района Вешняки""";(499) 786-32-95;www.gu-is.ru;guis_veshnyaki@mail.ru;Внесены изменения;-0;55.72330021819062;37.808463677835505
3;7021;7021;VAO___197;сведения отсутствуют;Реутовская ул. 4;бесплатно;21056,8375;8116,4475;0;92542;городок тренажерный (воркаут);;нет;07.00-22.00;специальное;61;61;уличные столбы освещения;да;нет;;;12995;междворовые спортивные площадки;префектура;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1077758648483;"ГКУ ""ИС района Вешняки""";(499) 786-32-95;www.gu-is.ru;guis_veshnyaki@mail.ru;Внесены изменения;-0;55.73940412190884;37.83349193516011
4;6995;6995;VAO___171;сведения отсутствуют;Главная ул. 5;бесплатно;22845,5566;16947,9922;5474;94563;городок тренажерный (воркаут);;нет;круглосуточно;искусственное;61;61;уличные столбы освещения;нет;нет;;;13808;плоскостные спортивные сооружения;муниципалитет;ВАО;Восточный;нет;нет;нет;нет;нет;нет;нет;нет;5087746146318;"ООО ""Восток Строй Сервис""";(495) 963-17-36;нет;vss2015@mail.ru;Внесены изменения;-0;55.818644017081475;37.86270471921683
5;6839;6839;VAO___15;сведения отсутствуют;Средняя Первомайская ул. 21;сведения отсутствуют;19596,4253;14398,4738;19306;91924;городок тренажерный (воркаут);;нет;08:00-22:00;искусственное;61;61;уличные столбы освещения;нет;нет;;;13805;плоскостные спортивные сооружения;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;ВАО;Восточное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1027700554056;Администрация муниципального округа Восточное Измайлово;(499) 463-62-09;нет;v_izml@vao.mos.ru;Добавлено;-0;55.795887418747725;37.81069011117909
6;2370;2370;DOGM__1778;"Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы ""Московский городской педагогический университет""";"Юго-Западный / Зюзино / Балаклавский просп. / Дом- 32; Корп- 4";бесплатно;5429,9056;-2226,5932;2108466;12283;городок тренажерный (воркаут);;нет;с 10:00 до 21:00;искусственное;220;150;без освещения;да;нет;;;12283;ВУЗы;Департамент образования города Москвы;ЮЗАО;Зюзино;нет;нет;нет;нет;нет;нет;нет;нет;1027700141996;"ГБОУ ВПО города Москвы ""Московский городской педагогический университет""";(499) 181-65-52;mgpu.ru;rectorat@mgpu.ru;;;55.64692843145436;37.584502409415855
