ROWNUM;ObjectShortName;SportZoneName;ObjectAdmArea;ObjectDistrict;Address;Email;WebSite;HelpPhone;ObjectHasEquipmentRental;ObjectHasTechService;ObjectHasDressingRoom;ObjectHasEatery;ObjectHasToilet;ObjectHasWifi;ObjectHasCashMachine;ObjectHasFirstAidPost;SportZoneLongitudeWGS84;SportZoneLatitudeWGS84;SportZoneWorkingHours;SportZoneClarificationOfWorkingHours;SportZonePaid;SportZonePaidComments;SportZoneHasMusic;SportZoneDisabilityFriendly;SportZoneService;GLOBALID;
53;"Парк 60-летия Октября";"Ледяная горка в парке";"Южный административный округ";"район Нагатинский Затон";"проспект Андропова, дом 9";"kuzay07@yandex.ru";"";"(499) 175-33-69";"да";"нет";"да";"да";"да";"нет";"нет";"нет";"37.66822632256582";"55.69752226269576";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"";"90563108";
54;"Ледяная горка";"Ледяная горка в парке";"Южный административный округ";"район Братеево";"улица Борисовские Пруды, дом 16, корпус 3";"";"";"(495) 655-95-78";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.74801187820338";"55.63445020203852";"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";"";"бесплатно";"";"нет";"";"";"90563109";
55;"Ледовая горка";"Ледяная горка в парке";"Юго-Западный административный округ";"район Котловка";"Нахимовский проспект, дом 10";"";"";"(499) 123-94-00";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.60108951327233";"55.66871059186741";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563145";
56;"Озелененная территория около ТЦ Бирюза";"Ледяная горка в парке";"Южный административный округ";"район Бирюлёво Западное";"Булатниковская улица, дом 2А";"sowbr@uao.mos.ru";"old.uao.mos.ru";"(495) 385-09-22";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.64907702984406";"55.58063967960398";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"";"бесплатно";"";"нет";"";"";"90563197";
57;"ЛЗ «Теплый стан»";"Ледяная горка";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10";"gpbuuc@mail.ru";"www.gpbuuc.ru";"(499) 643-22-97";"да";"да";"да";"да";"да";"да";"нет";"да";"37.497126857788984";"55.63975087022496";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90563213";
58;"Дворовая площадка";"Ледяная горка в парке";"Юго-Западный административный округ";"Ломоносовский район";"Ленинский проспект, дом 82";"Lomonos@uzao.mos.ru";"www.lomonosovsky.mos.ru";"(499) 783-84-23";"да";"нет";"да";"да";"да";"нет";"нет";"нет";"37.53060447097087";"55.67973423603991";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563285";
59;"Воронцовский парк";"Ледяная горка в парке";"Юго-Западный административный округ";"Обручевский район";"Воронцовский парк, дом 1";"";"obruchevskoe.ru";"(495) 936-22-70";"да";"нет";"да";"да";"да";"нет";"нет";"да";"37.53025155769296";"55.668530497241235";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563340";
60;"Воронцовский парк";"Ледяная горка в парке";"Юго-Западный административный округ";"Обручевский район";"Воронцовский парк, дом 1";"";"obruchevskoe.ru";"(495) 936-22-70";"да";"нет";"да";"да";"да";"нет";"нет";"да";"37.53189843402817";"55.667426202320726";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563341";
61;"Воронцовский парк";"Ледяная горка в парке";"Юго-Западный административный округ";"Обручевский район";"Воронцовский парк, дом 1";"";"obruchevskoe.ru";"(495) 936-22-70";"да";"нет";"да";"да";"да";"нет";"нет";"да";"37.534135396346706";"55.66599813638148";"понедельник 09:00-21:00; вторник 09:00-21:00; среда 09:00-21:00; четверг 09:00-21:00; пятница 09:00-21:00; суббота 09:00-21:00; воскресенье 09:00-21:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563342";
62;"Ледовая горка";"Ледяная горка в парке";"Юго-Западный административный округ";"район Северное Бутово";"улица Знаменские Садки, дом 7, корпус 1";"";"";"(495) 713-63-08";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.570912049968435";"55.57366723288023";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563384";
63;"Ледовая горка";"Ледяная горка в парке";"Юго-Западный административный округ";"район Северное Бутово";"улица Знаменские Садки, дом 11";"";"";"(495) 713-63-08";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.56823524597566";"55.57429710056885";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563385";
64;"парк «Бекет»";"Ледяная горка в парке";"Южный административный округ";"Донской район";"Загородное шоссе, дом 2А";"sodns@uao.mos.ru";"old.uao.mos.ru";"(495) 958-15-90";"да";"да";"да";"да";"да";"нет";"нет";"нет";"37.61094755515691";"55.69825997745209";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"";"бесплатно";"";"нет";"";"";"90563461";
65;"ФСК «Медик»";"Ледяная горка в парке";"Западный административный округ";"район Кунцево";"улица Маршала Тимошенко, дом 10";"";"";"(499) 149-30-13";"да";"нет";"да";"нет";"да";"нет";"нет";"нет";"37.3925531377758";"55.7418180631829";"понедельник 09:00-17:00; вторник 09:00-17:00; среда 09:00-17:00; четверг 09:00-17:00; пятница 09:00-17:00; суббота 09:00-17:00; воскресенье 09:00-17:00";"";"бесплатно";"";"нет";"";"";"90563576";
66;"Лесопарк «Кусково», ПК № 80";"Ледяная горка в парке";"Восточный административный округ";"район Вешняки";"улица Юности, дом 2, строение 1";"ooptvao@gmail.com";"mosecovao.ru";"(495) 367-36-81";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.799108698538475";"55.73472124713575";"понедельник 07:00-22:00; вторник 07:00-22:00; среда 07:00-22:00; четверг 07:00-22:00; пятница 07:00-22:00; суббота 07:00-22:00; воскресенье 07:00-22:00";"";"бесплатно";"";"нет";"";"катание на санках";"90563607";
67;"Детский парк культуры и отдыха «Пресненский»";"Ледяная горка в парке";"Центральный административный округ";"Пресненский район";"Дружинниковская улица, дом 9, строение 2";"";"presnenskiypark.ru";"(495) 605-74-15";"да";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.57255048866349";"55.7573394474327";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"ледянки бесплатно";"нет";"не приспособлен";"катание на санках";"90563685";
68;"ледяная горка";"Ледяная горка в парке";"Зеленоградский административный округ";"район Матушкино";"город Зеленоград, корпус 128";"";"matushkino.mos.ru";"(495) 536-05-05";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.20980502931961";"56.00216201807403";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90563768";
69;"Дворец творчества детей и молодежи «На Миуссах»";"Ледяная горка в парке";"Центральный административный округ";"Тверской район";"2-й Щемиловский переулок, дом 4, строение 5";"Mcdtdm@mail.ru";"www.miussy.ru";"(499) 973-91-44";"да";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"37.609203200815394";"55.77691995559503";"понедельник 08:00-22:00; вторник 08:00-22:00; среда 08:00-22:00; четверг 08:00-22:00; пятница 08:00-22:00; суббота 08:00-22:00; воскресенье 08:00-22:00";"";"бесплатно";"";"нет";"не приспособлен";"катание на санках";"90563830";
